2025_07_29_07_12_06_L_001.csv,ブーム:,L,穿孔No.:,1,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
28,8,50,55,233,0.88,5.156,13.9,3.1,4,0,1,16.9,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
29,8,50,55,433,0.904,5.369,14,3,3.9,0,1,16.1,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
30,8,50,55,633,0.928,5.141,14.6,3.4,4.2,0,1,19.9,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
31,8,50,55,834,0.954,4.928,14.7,3.6,4.3,0,1,21.3,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
32,8,50,56,34,0.979,4.943,14.2,4.3,4.5,0,1,21,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
33,8,50,56,234,0.989,3.939,14.5,4,4.3,0,1,26,1446,-34521.534,33250.698,54.208,3863.726,-0.212,5.715,43.4506,78.4859,-1.4225,11.5141,,1,1,3866,,,,,,
34,8,50,56,433,0.997,2.677,14.4,3.7,4.1,0,1,36.8,1446,-34521.434,33250.794,54.278,3863.588,-0.214,5.784,43.6184,78.1765,-1.2547,11.8235,,1,1,3866,,,,,,
35,8,50,56,634,1.004,1.551,14.5,3.8,4.1,0,1,62.9,1446,-34521.434,33250.794,54.278,3863.588,-0.214,5.784,43.6184,78.1765,-1.2547,11.8235,,1,1,3866,,,,,,
36,8,50,56,833,1.012,1.688,14.5,3.8,4,0,1,56.7,1446,-34521.434,33250.794,54.278,3863.588,-0.214,5.784,43.6184,78.1765,-1.2547,11.8235,,1,1,3866,,,,,,
37,8,50,57,33,1.021,1.673,14.5,3.6,4.4,0,1,62.5,1446,-34521.434,33250.794,54.278,3863.588,-0.214,5.784,43.6184,78.1765,-1.2547,11.8235,,1,1,3866,,,,,,
38,8,50,57,233,1.028,1.658,14.4,3.7,4.1,0,1,58.4,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
39,8,50,57,433,1.035,1.551,14.3,3.4,4.5,0,1,67.6,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
40,8,50,57,633,1.043,1.536,14.5,3.5,4.4,0,1,68.3,1446,-34521.42,33250.866,54.3,3863.527,-0.172,5.807,44.1182,78.2203,-0.7548,11.7797,,1,1,3866,,,,,,
