2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
817,8,8,53,753,3.994,1.202,13.9,5.8,6.1,0,3,109.3,8372,-34529.577,33248.466,48.838,3871.001,3.882,0.344,226.6451,90.7657,-178.228,-0.7657,,1,1,3866,,,,,,
818,8,8,53,953,3.998,1.217,13.8,5.7,6,0,3,105.7,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
819,8,8,54,154,4.002,1.202,13.9,7.1,5,0,3,89.4,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
820,8,8,54,353,4.006,1.11,13.8,7.1,5.3,0,3,101.8,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
821,8,8,54,554,4.01,1.186,13.8,7.2,5.6,0,3,101.5,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
822,8,8,54,754,4.014,1.217,13.8,6,6,0,3,104.3,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
823,8,8,54,953,4.019,1.232,13.8,6.6,5.3,0,3,92.7,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
824,8,8,55,154,4.024,1.262,13.9,7,5.4,0,3,91.4,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
825,8,8,55,353,4.029,1.475,13.9,6.9,5.7,0,3,83.2,8372,-34529.597,33248.448,48.844,3871.028,3.883,0.35,226.6068,90.6257,-178.2663,-0.6257,,1,1,3866,,,,,,
826,8,8,55,553,4.035,1.597,13.9,5.5,6.1,0,3,82,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
827,8,8,55,753,4.039,1.536,13.9,6.1,5.8,0,3,80.6,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
828,8,8,55,953,4.044,1.354,13.9,6.9,5.2,0,3,81.9,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
829,8,8,56,154,4.048,1.293,13.8,6.9,5.4,0,3,89.4,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
830,8,8,56,353,4.054,1.399,13.8,6.6,5.9,0,3,89.6,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
831,8,8,56,554,4.059,1.491,13.8,5.6,6.2,0,3,88.3,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
832,8,8,56,753,4.063,1.338,13.8,6.5,5.5,0,3,87.2,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
833,8,8,56,953,4.067,1.202,13.8,6.8,5.3,0,3,94.3,8373,-34529.614,33248.429,48.832,3871.054,3.882,0.338,226.6044,90.7573,-178.2687,-0.7573,,1,1,3866,,,,,,
834,8,8,57,154,4.073,1.293,13.8,7.2,5.3,0,3,87.6,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
835,8,8,57,353,4.077,1.293,13.9,6.5,5.9,0,3,97.1,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
836,8,8,57,554,4.082,1.308,13.8,6,5.9,0,3,97,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
837,8,8,57,753,4.086,1.323,13.9,6.6,5.5,0,3,88.9,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
838,8,8,57,954,4.091,1.323,13.9,7.2,5,0,3,81.3,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
839,8,8,58,154,4.095,1.323,13.9,7.4,5.3,0,3,85.6,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
840,8,8,58,353,4.1,1.338,13.8,6.7,5.9,0,3,93.8,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
841,8,8,58,553,4.104,1.232,13.9,5.6,5.8,0,3,100.5,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
842,8,8,58,753,4.11,1.399,13.8,6.3,5.7,0,3,86.4,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
843,8,8,58,954,4.115,1.506,13.8,6.9,5.2,0,3,74.3,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
844,8,8,59,153,4.119,1.415,13.9,7.6,5.1,0,3,77.6,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
845,8,8,59,354,4.123,1.262,13.9,7,5.8,0,3,98.7,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
846,8,8,59,553,4.128,1.278,13.9,6.3,6,0,3,99.8,8373,-34529.655,33248.386,48.829,3871.113,3.88,0.336,226.6033,90.6628,-178.2697,-0.6628,,1,1,3866,,,,,,
847,8,8,59,753,4.133,1.323,13.9,6.6,5.4,0,3,87.5,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
848,8,8,59,953,4.137,1.384,13.8,7.3,5,0,3,77.7,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
849,8,9,0,154,4.143,1.323,13.9,7.3,5.3,0,3,85.9,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
850,8,9,0,354,4.147,1.278,13.9,7.4,5.6,0,3,94.1,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
851,8,9,0,553,4.152,1.369,13.9,5.7,6,0,3,94,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
852,8,9,0,753,4.157,1.369,13.8,7,5.2,0,3,81.2,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
853,8,9,0,954,4.161,1.323,13.9,7.5,5.1,0,3,82.6,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
854,8,9,1,153,4.166,1.323,13.8,7.3,6.1,0,3,97.7,8373,-34529.674,33248.363,48.844,3871.142,3.876,0.35,226.6751,90.6377,-178.1979,-0.6377,,1,1,3866,,,,,,
855,8,9,1,353,4.171,1.338,13.8,5.9,6,0,3,95.9,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
856,8,9,1,553,4.177,1.415,13.8,6.4,5.4,0,3,81.9,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
857,8,9,1,753,4.181,1.46,13.9,7.4,5.2,0,3,76.2,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
858,8,9,1,954,4.187,1.369,13.9,7.1,5.9,0,3,92.7,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
859,8,9,2,153,4.191,1.217,13.9,5.6,6.2,0,3,108.6,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
860,8,9,2,353,4.196,1.415,13.9,6.4,5.6,0,3,85.4,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
861,8,9,2,553,4.201,1.415,13.9,7.5,4.9,0,3,74.4,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
862,8,9,2,753,4.204,1.293,13.9,7,5.5,0,3,90.3,8373,-34529.71,33248.32,48.84,3871.199,3.872,0.347,226.7401,90.5824,-178.133,-0.5824,,1,1,3866,,,,,,
863,8,9,2,953,4.209,1.308,13.9,6.4,6,0,3,97.4,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
864,8,9,3,153,4.213,1.232,13.8,5.9,5.8,0,3,101,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
865,8,9,3,353,4.219,1.293,13.9,6.9,5.3,0,3,87.9,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
866,8,9,3,553,4.223,1.384,13.9,7.1,5.3,0,3,81.5,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
867,8,9,3,753,4.228,1.247,13.8,6.9,5.8,0,3,99.4,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
868,8,9,3,953,4.232,1.232,13.8,5.9,6,0,3,103.9,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
869,8,9,4,154,4.237,1.323,13.8,6.6,5.5,0,3,88.3,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
870,8,9,4,353,4.242,1.338,13.9,7.2,5.1,0,3,81.8,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
871,8,9,4,554,4.246,1.262,13.9,7.4,5.5,0,3,93.8,8373,-34529.729,33248.297,48.839,3871.228,3.869,0.345,226.7822,90.534,-178.0909,-0.534,,1,1,3866,,,,,,
872,8,9,4,753,4.251,1.262,13.9,6.5,5.9,0,3,99.7,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
873,8,9,4,953,4.256,1.232,13.9,6.2,5.7,0,3,98.4,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
874,8,9,5,153,4.26,1.323,13.9,7,5.1,0,3,83.1,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
875,8,9,5,354,4.265,1.308,13.9,7.3,5.4,0,3,88.8,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
876,8,9,5,553,4.269,1.247,13.8,6,6,0,3,101.9,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
877,8,9,5,753,4.273,1.202,13.8,6.3,5.6,0,3,98.2,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
878,8,9,5,953,4.279,1.384,13.9,7.5,5,0,3,76.9,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
879,8,9,6,153,4.283,1.415,13.9,7.3,5.5,0,3,82.7,8373,-34529.751,33248.278,48.843,3871.257,3.871,0.349,226.7018,90.5059,-178.1713,-0.5059,,1,1,3866,,,,,,
880,8,9,6,353,4.288,1.369,13.8,6.2,5.8,0,3,89.5,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
881,8,9,6,553,4.292,1.278,13.8,7.1,5.1,0,3,84.5,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
882,8,9,6,753,4.297,1.354,13.9,7.6,5.2,0,3,82.2,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
883,8,9,6,953,4.302,1.43,13.9,6.1,6,0,3,89.6,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
884,8,9,7,153,4.307,1.475,13.8,6.3,5.3,0,3,76.6,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
885,8,9,7,353,4.311,1.369,13.9,7.2,5.2,0,3,82.3,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
886,8,9,7,553,4.316,1.247,13.9,6.7,5.8,0,3,100,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
887,8,9,7,753,4.322,1.369,13.8,5.9,5.9,0,3,92,8373,-34529.786,33248.234,48.84,3871.312,3.864,0.346,226.793,90.4928,-178.0801,-0.4928,,1,1,3866,,,,,,
888,8,9,7,953,4.327,1.384,13.9,7.2,5.1,0,3,78.2,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
889,8,9,8,154,4.332,1.399,13.9,7.3,5.4,0,3,83.2,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
890,8,9,8,354,4.336,1.323,13.9,6.2,6,0,3,96.4,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
891,8,9,8,553,4.341,1.399,13.9,7.3,5,0,3,76.9,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
892,8,9,8,754,4.346,1.415,13.9,7.4,5.2,0,3,79.3,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
893,8,9,8,954,4.35,1.415,13.8,6,6,0,3,89.9,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
894,8,9,9,153,4.355,1.323,13.8,6.8,5.2,0,3,83.9,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
895,8,9,9,353,4.36,1.293,13.9,6.9,5.4,0,3,91,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
896,8,9,9,553,4.365,1.415,13.9,6.5,5.9,0,3,89.2,8373,-34529.808,33248.214,48.845,3871.343,3.866,0.351,226.7725,90.4149,-178.1006,-0.4149,,1,1,3866,,,,,,
897,8,9,9,753,4.369,1.354,13.8,6.3,5.6,0,3,87.1,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
898,8,9,9,953,4.373,1.186,14,7,5.3,0,3,96.5,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
899,8,9,10,154,4.377,1.217,13.9,6.6,5.8,0,3,103.4,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
900,8,9,10,353,4.383,1.247,13.8,6.2,5.6,0,3,95.4,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
901,8,9,10,553,4.387,1.354,13.9,6.8,5.4,0,3,85.8,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
902,8,9,10,753,4.391,1.308,13.9,6.4,5.8,0,3,95.5,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
903,8,9,10,953,4.396,1.217,13.8,6,5.4,0,3,94,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
904,8,9,11,153,4.4,1.202,14,7.1,5.2,0,3,93.5,8373,-34529.829,33248.192,48.832,3871.373,3.865,0.338,226.8029,90.5598,-178.0702,-0.5598,,1,1,3866,,,,,,
905,8,9,11,353,4.404,1.293,13.9,7,5.7,0,3,95.1,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
906,8,9,11,554,4.408,1.171,13.7,6.6,5.4,0,3,96.5,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
907,8,9,11,753,4.412,1.126,13.9,7.3,5.4,0,3,102.9,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
908,8,9,11,953,4.417,1.247,13.9,6,6.1,0,3,104.1,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
909,8,9,12,153,4.421,1.308,13.8,6.6,5.3,0,3,86.1,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
910,8,9,12,353,4.426,1.293,13.9,7,5.3,0,3,87.3,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
911,8,9,12,553,4.43,1.278,13.8,7.4,5.7,0,3,94.3,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
912,8,9,12,753,4.434,1.171,13.7,5.8,6,0,3,106.2,8373,-34529.868,33248.15,48.841,3871.43,3.863,0.347,226.7953,90.4552,-178.0778,-0.4552,,1,1,3866,,,,,,
913,8,9,12,953,4.439,1.293,13.8,7.1,5.2,0,3,84.4,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
914,8,9,13,153,4.443,1.354,13.9,7.4,5.2,0,3,82.2,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
915,8,9,13,353,4.447,1.232,13.9,5.8,6.1,0,3,105.5,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
916,8,9,13,553,4.452,1.232,13.8,6.4,5.4,0,3,92.5,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
917,8,9,13,753,4.456,1.293,14,7,5.5,0,3,91.8,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
918,8,9,13,953,4.462,1.384,13.9,5.5,6.2,0,3,96,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
919,8,9,14,153,4.466,1.369,13.8,7,5.2,0,3,80.7,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
920,8,9,14,353,4.469,1.171,13.9,7.4,5.4,0,3,98.9,8373,-34529.884,33248.129,48.84,3871.456,3.86,0.347,226.8216,90.4489,-178.0515,-0.4489,,1,1,3866,,,,,,
921,8,9,14,553,4.473,1.034,13.9,5.8,6.1,0,3,126.6,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
922,8,9,14,753,4.478,1.262,13.8,6.8,5.3,0,3,88.6,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
923,8,9,14,953,4.482,1.354,13.9,7.3,5.4,0,3,86.1,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
924,8,9,15,154,4.486,1.232,13.8,5.8,6,0,3,103.9,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
925,8,9,15,353,4.49,1.171,13.8,6.7,5.3,0,3,94.9,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
926,8,9,15,553,4.495,1.293,13.9,7.1,5.4,0,3,89.6,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
927,8,9,15,753,4.499,1.338,13.8,5.8,6.2,0,3,98.2,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
928,8,9,15,953,4.503,1.278,13.8,6.9,5.3,0,3,87.3,8373,-34529.904,33248.11,48.844,3871.483,3.86,0.35,226.8133,90.4924,-178.0597,-0.4924,,1,1,3866,,,,,,
929,8,9,16,153,4.508,1.247,13.9,7,5.4,0,3,94.1,8373,-34529.923,33248.089,48.833,3871.511,3.858,0.34,226.7981,90.4989,-178.0749,-0.4989,,1,1,3866,,,,,,
930,8,9,16,353,4.511,1.156,13.8,5.8,6.2,0,3,113.7,8373,-34529.923,33248.089,48.833,3871.511,3.858,0.34,226.7981,90.4989,-178.0749,-0.4989,,1,1,3866,,,,,,
931,8,9,16,553,4.516,1.278,13.8,6.8,5.3,0,3,88.8,8373,-34529.923,33248.089,48.833,3871.511,3.858,0.34,226.7981,90.4989,-178.0749,-0.4989,,1,1,3866,,,,,,
932,8,9,16,753,4.52,1.232,14,7,5.4,0,3,94.7,8373,-34529.923,33248.089,48.833,3871.511,3.858,0.34,226.7981,90.4989,-178.0749,-0.4989,,1,1,3866,,,,,,
933,8,9,16,953,4.525,1.202,13.8,5.9,6.1,0,3,108.6,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
934,8,9,17,153,4.528,1.186,13.8,6.7,5.5,0,3,97,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
935,8,9,17,353,4.533,1.262,13.9,7.3,5.2,0,3,88.6,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
936,8,9,17,553,4.537,1.232,13.9,6.3,6.1,0,3,105.2,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
937,8,9,17,753,4.542,1.171,13.8,6.8,5.3,0,3,95.7,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
938,8,9,17,953,4.546,1.202,13.9,7.2,5.2,0,3,93.4,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
939,8,9,18,153,4.55,1.278,13.9,6.7,5.8,0,3,97.7,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
940,8,9,18,353,4.554,1.247,13.8,5.9,5.9,0,3,100.2,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
941,8,9,18,553,4.559,1.232,13.9,7.2,5.1,0,3,88.5,8373,-34529.942,33248.07,48.844,3871.538,3.859,0.35,226.7717,90.4967,-178.1013,-0.4967,,1,1,3866,,,,,,
942,8,9,18,753,4.563,1.156,13.9,7.1,5.8,0,3,106.7,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
943,8,9,18,953,4.567,1.202,13.8,6.1,6,0,3,105,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
944,8,9,19,153,4.571,1.232,13.8,7,5.2,0,3,90.2,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
945,8,9,19,353,4.575,1.202,13.9,7.5,5.2,0,3,92.6,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
946,8,9,19,553,4.579,1.171,13.8,6,6,0,3,108,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
947,8,9,19,753,4.583,1.141,13.8,6.7,5.4,0,3,99.6,8373,-34529.961,33248.052,48.834,3871.565,3.858,0.34,226.7688,90.507,-178.1042,-0.507,,1,1,3866,,,,,,
