2025_07_29_07_12_06_R_002.csv,ブーム:,R,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
28,8,3,44,934,0.161,1.627,13.9,6.3,4.6,0,1,62.2,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
29,8,3,45,133,0.167,1.582,13.8,5.4,5.1,0,1,70.5,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
30,8,3,45,333,0.172,1.612,13.9,5.7,5.4,0,1,73.5,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
31,8,3,45,533,0.178,1.658,13.9,6.4,4.9,0,1,64.6,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
32,8,3,45,733,0.184,1.658,13.8,5.7,4.8,0,1,63,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
33,8,3,45,933,0.189,1.658,13.8,5.5,5.1,0,1,67.5,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
34,8,3,46,133,0.195,1.704,13.9,5.9,5.3,0,1,68,8371,-34531.018,33246.925,49.009,3873.109,3.806,0.516,226.6982,89.4384,-178.1749,0.5616,,1,1,3866,,,,,,
35,8,3,46,333,0.2,1.658,13.9,6.6,4.9,0,1,65.1,8371,-34531.044,33246.899,49.013,3873.146,3.806,0.519,226.7001,89.4593,-178.1729,0.5407,,1,1,3866,,,,,,
36,8,3,46,534,0.206,1.734,13.8,6.9,4.7,0,1,59.7,8371,-34531.044,33246.899,49.013,3873.146,3.806,0.519,226.7001,89.4593,-178.1729,0.5407,,1,1,3866,,,,,,
37,8,3,46,733,0.213,1.856,13.8,6.7,4.7,0,1,55.4,8371,-34531.044,33246.899,49.013,3873.146,3.806,0.519,226.7001,89.4593,-178.1729,0.5407,,1,1,3866,,,,,,
38,8,3,46,933,0.22,1.947,13.9,5.9,4.8,0,1,54.3,8371,-34531.044,33246.899,49.013,3873.146,3.806,0.519,226.7001,89.4593,-178.1729,0.5407,,1,1,3866,,,,,,
39,8,3,47,133,0.228,2.236,13.9,6.4,4.5,0,1,44.8,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
40,8,3,47,333,0.237,2.418,13.8,6.2,5,0,1,44.9,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
41,8,3,47,533,0.245,2.464,13.9,5.2,5.4,0,1,48.4,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
42,8,3,47,734,0.252,2.373,13.8,5.2,5.5,0,1,50.2,8371,-34531.066,33246.87,49.006,3873.182,3.801,0.512,226.736,89.4777,-178.137,0.5223,,1,1,3866,,,,,,
