2025_07_29_07_12_06_L_002.csv,ブーム:,L,穿孔No.:,2,ビット径[mm]:,75,ストローク:,ショート,ドリフタ種類:,HD220,,,,,,,,,,,,,,,,,,,,,,,
シーケンス番号,時,分,秒,ミリ秒,穿孔長,穿孔速度,打撃圧,回転圧,フィード圧,打撃数,のみ継ぎ No.,穿孔エネルギー,穿孔No.,X(m),Y(m),Z:標高(m),x:TD(m),y:CL離(m),z:SL離(m),H:方位角(Deg),V:鉛直角(Deg),h:水平さし角(Deg),v:鉛直さし角(Deg),予備フィールド1,予備フィールド2,予備フィールド3,予備フィールド4,予備フィールド5,予備フィールド6,予備フィールド7,予備フィールド8,予備フィールド9,予備フィールド10
28,10,6,5,273,0.397,5.126,14.4,3.5,2.4,0,1,11.2,1460,-34519.045,33247.904,49.773,3863.934,-3.948,1.279,43.6172,87.0131,-1.2559,2.9869,,1,1,3866,,,,,,
29,10,6,5,473,0.415,5.126,14.5,3.5,2.5,0,1,11.8,1460,-34519.045,33247.904,49.773,3863.934,-3.948,1.279,43.6172,87.0131,-1.2559,2.9869,,1,1,3866,,,,,,
30,10,6,5,673,0.432,5.111,14.4,3.8,2.6,0,1,12.3,1460,-34519.045,33247.904,49.773,3863.934,-3.948,1.279,43.6172,87.0131,-1.2559,2.9869,,1,1,3866,,,,,,
31,10,6,5,873,0.448,5.111,14.4,3.6,2.9,0,1,13.3,1460,-34519.045,33247.904,49.773,3863.934,-3.948,1.279,43.6172,87.0131,-1.2559,2.9869,,1,1,3866,,,,,,
32,10,6,6,73,0.466,5.095,14.4,3.9,2.7,0,1,12.5,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
33,10,6,6,273,0.483,5.095,14.4,4.1,2.6,0,1,12.2,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
34,10,6,6,473,0.5,5.156,14.4,3.9,2.3,0,1,10.6,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
35,10,6,6,673,0.517,5.111,14.4,3.9,2.8,0,1,13.2,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
36,10,6,6,873,0.534,5.111,14.4,4.2,2.9,0,1,13.3,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
37,10,6,7,73,0.551,5.126,14.4,4.1,2.8,0,1,12.7,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
38,10,6,7,273,0.568,5.111,14.4,4.4,2.9,0,1,13.3,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
39,10,6,7,473,0.585,5.08,14.4,4.2,3.5,0,1,16,1460,-34518.968,33247.985,49.774,3863.821,-3.945,1.281,43.676,87.0454,-1.197,2.9546,,1,1,3866,,,,,,
40,10,6,7,673,0.602,5.065,14.3,4.2,3.5,0,1,16.2,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
41,10,6,7,873,0.619,5.065,14.4,4.9,3.4,0,1,15.7,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
42,10,6,8,73,0.635,5.065,14.4,4.6,4.2,0,1,19.6,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
43,10,6,8,273,0.652,5.05,14.6,4.3,4.7,0,1,22.6,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
44,10,6,8,474,0.669,5.05,15,4.9,4.8,0,1,24.4,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
45,10,6,8,673,0.685,4.989,14.7,5.6,4.8,0,1,23.6,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
46,10,6,8,874,0.701,4.867,14.4,5.9,5.2,0,1,25.5,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
47,10,6,9,73,0.716,4.624,14.4,5.8,5.4,0,1,27.6,1460,-34518.89,33248.058,49.802,3863.715,-3.948,1.309,43.6219,86.874,-1.2512,3.126,,1,1,3866,,,,,,
48,10,6,9,274,0.729,4.35,14.4,5.8,5.4,0,1,29.4,1460,-34518.815,33248.129,49.825,3863.611,-3.951,1.331,43.6698,86.6873,-1.2033,3.3127,,1,1,3866,,,,,,
49,10,6,9,474,0.743,4.091,14.4,5.4,5.7,0,1,32.8,1460,-34518.815,33248.129,49.825,3863.611,-3.951,1.331,43.6698,86.6873,-1.2033,3.3127,,1,1,3866,,,,,,
50,10,6,9,673,0.755,3.939,14.4,5.2,5.8,0,1,34.9,1460,-34518.815,33248.129,49.825,3863.611,-3.951,1.331,43.6698,86.6873,-1.2033,3.3127,,1,1,3866,,,,,,
51,10,6,9,874,0.766,3.696,14.5,5.8,5.5,0,1,35.6,1460,-34518.815,33248.129,49.825,3863.611,-3.951,1.331,43.6698,86.6873,-1.2033,3.3127,,1,1,3866,,,,,,
52,10,6,10,74,0.776,3.331,14.4,5.7,5.7,0,1,40.4,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
53,10,6,10,273,0.786,3.012,14.4,6.2,5.6,0,1,43.4,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
54,10,6,10,473,0.794,2.753,14.4,5.8,5.9,0,1,51.2,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
55,10,6,10,673,0.803,2.586,14.4,5.4,6,0,1,54.5,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
56,10,6,10,873,0.811,2.464,14.4,5.7,5.8,0,1,55.5,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
57,10,6,11,73,0.819,2.494,14.4,6,5.7,0,1,54.4,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
58,10,6,11,273,0.827,2.418,14.4,6.2,5.5,0,1,53.7,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
59,10,6,11,473,0.833,2.221,14.5,6.6,5.2,0,1,56.1,1460,-34518.728,33248.174,49.849,3863.518,-3.98,1.355,43.4461,86.576,-1.427,3.424,,1,1,3866,,,,,,
60,10,6,11,673,0.842,2.236,14.5,6.3,5.4,0,1,58.1,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
61,10,6,11,873,0.848,2.19,14.6,6.7,5.3,0,1,59,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
62,10,6,12,74,0.85,1.627,14.5,6.8,5.3,0,1,78.5,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
63,10,6,12,273,0.859,1.551,14.5,5.8,5.5,0,1,85.3,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
64,10,6,12,473,0.866,2.023,14.3,6.7,5.3,0,1,61.7,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
65,10,6,12,674,0.873,2.205,14.3,6.9,5.3,0,1,56.1,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
66,10,6,12,873,0.882,2.236,14.3,5.6,5.7,0,1,60,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
67,10,6,13,73,0.89,2.449,14.4,5.8,5.7,0,1,55.1,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
68,10,6,13,273,0.897,2.403,14.4,5.8,5.7,0,1,55.7,1460,-34518.681,33248.22,49.864,3863.453,-3.98,1.37,43.4828,86.4682,-1.3902,3.5318,,1,1,3866,,,,,,
69,10,6,13,473,0.906,2.327,14.4,6,5.5,0,1,55.7,1460,-34518.65,33248.235,49.895,3863.42,-3.991,1.402,43.5299,86.1749,-1.3432,3.8251,,1,1,3866,,,,,,
70,10,6,13,673,0.912,2.282,14.5,6.2,5.3,0,1,55.5,1460,-34518.65,33248.235,49.895,3863.42,-3.991,1.402,43.5299,86.1749,-1.3432,3.8251,,1,1,3866,,,,,,
71,10,6,13,873,0.921,2.403,14.4,6.4,5.5,0,1,54.1,1460,-34518.65,33248.235,49.895,3863.42,-3.991,1.402,43.5299,86.1749,-1.3432,3.8251,,1,1,3866,,,,,,
72,10,6,14,73,0.928,2.342,14.4,6,5.6,0,1,56.1,1460,-34518.65,33248.235,49.895,3863.42,-3.991,1.402,43.5299,86.1749,-1.3432,3.8251,,1,1,3866,,,,,,
73,10,6,14,273,0.936,2.358,14.3,6.5,5.5,0,1,54.3,1460,-34518.604,33248.282,49.832,3863.355,-3.991,1.338,43.5369,86.742,-1.3362,3.258,,1,1,3866,,,,,,
74,10,6,14,473,0.944,2.282,14.3,5.8,5.7,0,1,58.9,1460,-34518.604,33248.282,49.832,3863.355,-3.991,1.338,43.5369,86.742,-1.3362,3.258,,1,1,3866,,,,,,
75,10,6,14,673,0.951,2.266,14.4,5.5,5.7,0,1,59,1460,-34518.604,33248.282,49.832,3863.355,-3.991,1.338,43.5369,86.742,-1.3362,3.258,,1,1,3866,,,,,,
76,10,6,14,873,0.958,2.145,14.4,5.8,5.7,0,1,63,1460,-34518.604,33248.282,49.832,3863.355,-3.991,1.338,43.5369,86.742,-1.3362,3.258,,1,1,3866,,,,,,
77,10,6,15,73,0.965,2.145,14.4,5.6,5.7,0,1,62.6,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
78,10,6,15,273,0.973,2.114,14.4,5.6,5.7,0,1,63.9,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
79,10,6,15,473,0.98,2.205,14.4,5.8,5.6,0,1,60.1,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
80,10,6,15,673,0.988,2.236,14.5,6.3,5.5,0,1,58.6,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
81,10,6,15,874,0.994,2.19,14.5,6.4,5.3,0,1,57.8,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
82,10,6,16,73,1.002,2.236,14.5,6.5,5.1,0,1,54.6,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
83,10,6,16,273,1.01,2.282,14.5,6,5.4,0,1,56.3,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
84,10,6,16,473,1.019,2.418,14.5,5.9,5.4,0,1,53,1460,-34518.568,33248.316,49.828,3863.305,-3.992,1.334,43.5554,86.792,-1.3177,3.208,,1,1,3866,,,,,,
85,10,6,16,673,1.026,2.418,14.5,6.1,5.5,0,1,53.7,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
86,10,6,16,873,1.033,2.282,14.5,6.1,5.6,0,1,58.4,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
87,10,6,17,73,1.04,2.114,14.5,6.1,5.6,0,1,62.9,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
88,10,6,17,273,1.048,2.069,14.5,5.6,5.7,0,1,66.1,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
89,10,6,17,473,1.054,2.023,14.4,6.2,5.7,0,1,67.1,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
90,10,6,17,673,1.06,1.916,14.4,6.7,5.3,0,1,65.7,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
91,10,6,17,873,1.066,1.795,14.4,5.9,5.7,0,1,74.5,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
92,10,6,18,73,1.071,1.673,14.4,5.8,5.8,0,1,81,1460,-34518.529,33248.348,49.815,3863.255,-3.997,1.321,43.5365,86.9065,-1.3366,3.0935,,1,1,3866,,,,,,
93,10,6,18,273,1.076,1.643,14.4,6.5,5.6,0,1,79.9,1460,-34518.493,33248.384,49.822,3863.204,-3.997,1.328,43.5457,86.8887,-1.3273,3.1113,,1,1,3866,,,,,,
94,10,6,18,473,1.082,1.597,14.4,6.1,5.4,0,1,80.3,1460,-34518.493,33248.384,49.822,3863.204,-3.997,1.328,43.5457,86.8887,-1.3273,3.1113,,1,1,3866,,,,,,
95,10,6,18,673,1.087,1.643,14.4,5.9,5.7,0,1,81.7,1460,-34518.493,33248.384,49.822,3863.204,-3.997,1.328,43.5457,86.8887,-1.3273,3.1113,,1,1,3866,,,,,,
96,10,6,18,873,1.093,1.627,14.4,6.4,5.6,0,1,80.3,1460,-34518.493,33248.384,49.822,3863.204,-3.997,1.328,43.5457,86.8887,-1.3273,3.1113,,1,1,3866,,,,,,
97,10,6,19,74,1.098,1.612,14.5,6.2,5.4,0,1,79.5,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
98,10,6,19,273,1.103,1.551,14.4,5.7,5.8,0,1,89,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
99,10,6,19,473,1.108,1.536,14.4,6.5,5.3,0,1,81.5,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
100,10,6,19,673,1.114,1.582,14.5,5.5,5.8,0,1,86.8,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
101,10,6,19,873,1.119,1.688,14.4,6.3,5.5,0,1,77.1,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
102,10,6,20,73,1.125,1.627,14.5,5.6,5.9,0,1,86.1,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
103,10,6,20,273,1.129,1.551,14.4,6.6,5.2,0,1,78.8,1460,-34518.469,33248.408,49.831,3863.17,-3.997,1.337,43.5757,86.7981,-1.2973,3.2019,,1,1,3866,,,,,,
